RNGSource;RNGTarget;RNGDistance
0;54;10,392805
1;8;6,7863834
1;48;13,140765
2;26;13,167619
2;50;36,710573
2;52;12,296992
3;5;30,091969
3;10;31,159418
4;68;17,728680
4;78;24,398904
5;53;75,090627
6;27;6,2393509
7;15;17,673036
7;16;15,330551
8;9;3,2700765
8;29;10,339458
10;31;5,4199723
11;27;5,2986791
11;57;12,343403
12;15;25,172600
12;53;60,852209
13;50;2,9496101
14;18;133,22216
14;31;33,059070
16;58;13,476687
17;50;31,460211
17;55;10,133514
19;144;12,176518
19;176;9,5994219
20;21;26,290399
20;39;20,442160
20;40;17,514585
21;141;16,783090
21;174;20,854194
22;29;5,1848144
23;32;26,610607
23;38;6,3684535
24;144;19,867984
24;145;16,612098
25;40;36,878814
25;175;11,140767
27;30;9,2432029
28;35;8,7187155
28;74;29,780233
29;38;15,249843
29;41;7,0597309
30;58;9,1908977
32;47;6,4819364
33;49;34,916392
33;52;50,013956
34;42;10,054695
34;45;15,272734
35;56;53,330714
36;44;6,1761558
36;70;13,518963
37;42;11,104031
37;55;23,690196
39;68;21,470161
39;78;13,673478
43;60;4,7846421
43;161;5,6981400
44;74;7,6909557
45;46;17,780284
46;48;6,2382530
47;56;22,682187
48;54;15,231372
49;57;12,073744
51;57;9,5286568
56;73;29,405394
59;84;10,092745
60;65;5,0098403
61;85;4,0037233
62;120;6,6108396
62;147;11,430258
62;154;14,291753
63;97;8,9899499
63;103;6,0266823
64;117;11,419588
64;122;13,105957
65;109;5,4178963
65;153;7,3628799
66;67;9,4838283
66;92;9,9322354
67;106;2,6547128
68;168;10,807104
69;78;35,418385
70;144;18,486020
70;157;14,235758
71;103;8,0272037
71;115;5,8059194
72;127;9,2826343
72;171;8,2428325
73;95;54,392772
74;157;10,849880
75;102;11,446445
75;152;21,807774
76;99;14,799125
76;114;10,056371
77;150;14,045903
77;151;22,021812
77;170;19,152154
79;85;14,401722
79;121;19,550662
79;127;11,207328
80;93;12,381660
81;100;11,836148
81;136;8,2608656
82;89;9,4759854
82;147;11,843640
83;106;8,4290806
83;165;6,3023726
84;142;7,5251445
84;160;8,9936366
85;91;13,715779
85;102;12,520643
86;116;4,6736281
86;170;17,023663
87;101;7,6415901
87;132;11,156451
88;104;8,2557677
88;109;10,338254
88;167;10,329894
90;107;9,5083016
90;156;10,871582
91;113;16,248597
91;127;18,348962
92;116;6,3350217
93;108;22,449940
94;117;11,119101
94;128;12,424017
96;130;13,679320
97;113;8,4910953
98;104;12,878734
98;134;11,208216
98;172;7,6317953
99;115;5,3205639
100;135;15,978157
101;119;3,4792528
102;113;11,006525
103;146;8,1002901
105;108;4,9825495
105;111;10,341093
107;116;7,7424802
110;132;11,545943
110;149;15,554003
110;162;9,7428281
111;128;17,394459
112;133;8,1382492
112;164;16,668890
114;124;6,6528490
118;125;9,6485595
118;126;21,831379
119;138;16,825864
121;151;19,079678
122;125;22,246218
123;125;4,4696085
124;125;4,5304967
126;128;10,823451
129;138;9,2279684
130;169;13,425655
131;142;12,807322
131;149;22,367472
132;177;4,7849347
133;139;11,546134
133;140;10,140015
134;148;8,8659912
135;166;18,024586
135;167;12,164477
136;155;7,7658805
137;142;5,9715827
137;170;8,2553256
138;139;17,072823
139;162;20,736707
142;165;9,4535020
143;177;12,682204
145;175;19,723412
147;159;7,9949046
148;154;15,120202
148;172;10,306124
154;169;14,822523
155;173;15,235862
156;171;10,726458
158;172;9,4599630
159;164;5,9764622
160;165;2,6107087
161;163;5,4351817
161;166;16,551782
168;174;3,8850097
173;174;12,599016
175;176;5,3588898
